x,y,z
433140.000000,436032.000000,0.000000
433075.159093,436337.052482,100.000000
432891.847955,436589.358619,200.000000
432621.762746,436745.292387,300.000000
432311.603653,436777.891422,400.000000
432015.000000,436681.519053,500.000000
431783.237254,436472.838939,600.000000
431656.389299,436187.933768,700.000000
431656.389299,435876.066232,800.000000
431783.237254,435591.161061,900.000000
432015.000000,435382.480947,1000.000000
432311.603653,435286.108578,1100.000000
432621.762746,435318.707613,1200.000000
432891.847955,435474.641381,1300.000000
433075.159093,435726.947518,1400.000000
433140.000000,436032.000000,1500.000000
433075.159093,436337.052482,1600.000000
432891.847955,436589.358619,1700.000000
432621.762746,436745.292387,1800.000000
432311.603653,436777.891422,1900.000000
432015.000000,436681.519053,2000.000000
431783.237254,436472.838939,2100.000000
431656.389299,436187.933768,2200.000000
431656.389299,435876.066232,2300.000000
431783.237254,435591.161061,2400.000000
432015.000000,435382.480947,2500.000000
432311.603653,435286.108578,2600.000000
432621.762746,435318.707613,2700.000000
432891.847955,435474.641381,2800.000000
433075.159093,435726.947518,2900.000000
